Team,Overall,Attack,Midfield,Defense
Bournemouth,73,71,74,70
Blackburn,70,69,70,70
Bristol City,69,68,67,69
Cardiff,69,70,70,68
Derby,69,67,70,69
Luton,68,68,69,68
Preston,70,68,71,69
QPR,70,71,70,70
Stoke,70,68,71,69
Sheffield United,73,72,74,73
Fulham,74,75,73,72
Coventry,69,69,70,68
Peterboro,67,69,66,67
Barnsley,68,69,65,68
Birmingham,70,70,70,71
Blackpool,66,65,66,66
Huddersfield,68,68,70,68
Hull,67,69,67,67
Middlesbrough,70,75,70,70
Millwall,70,69,69,70
Nott'm Forest,70,70,70,70
Reading,71,71,71,72
West Brom,72,72,73,72
Swansea,69,67,70,70
