Team,Overall,Attack,Midfield,Defense
Blackburn,69,70,70,69
Preston,70,70,70,69
Cardiff,71,72,71,72
Hull,71,71,71,70
Leeds,74,72,74,74
Middlesbrough,71,71,71,71
Millwall,69,70,68,70
Oxford,68,67,68,67
QPR,70,70,71,70
Stoke,69,66,70,68
Sheffield Weds,69,70,68,69
Luton,73,74,72,70
Coventry,70,70,71,70
Derby,68,69,67,69
Portsmouth,67,65,67,67
West Brom,71,71,71,70
Bristol City,69,65,69,70
Burnley,73,71,74,73
Norwich,71,72,70,70
Plymouth,69,69,70,68
Sheffield United,71,70,71,70
Swansea,69,69,70,69
Watford,70,69,71,69
Sunderland,70,60,69,70
